;ClueTR;ClueEN
0;Türkiyede obezite tedavisinin geri planda bırakıldığını düşünüyorum. Genelde obeziteli bireyler eşlik eden hastalıkların tedavisinden ziyade görsel olarak iyi hissetmek istiyorlar, bu noktada hekim olarak bana düşen obezitelerini tedavi etmektir. Tedavi başlarken hastanın uygulayıp uygulayamayacağını ve kılavuzları dikkate alarak hareket ediyorum. Kullandığım ilacın komorbiteleri tedavi etmesi yine hasta ve benim açımdan elimi güçlendiriyor. Hastalarımın motive şekilde kullanması ve verdiğim tedaviyi uygulaması beni mesleki açıdan mutlu ediyor.;I think obesity treatment is left in the background in Turkey. Generally, individuals with obesity want to feel better visually rather than treating their accompanying diseases. At this point, as a physician, my duty is to treat their obesity. When starting the treatment, I act by taking into consideration the guidelines and whether the patient can apply them. The fact that the medication I use treats comorbidities strengthens my hand for the patient and me. It makes me professionally happy that my patients are motivated and apply the treatment I provide.
1;Kardiyoloji açısında kesinlikle dijitalleşme çok öneml. Zaman ve bilgiye ulaşma hızlı için çok kritik . Cerrahi işlemleri canlı yayında takip edebiliyoruz yeni tedavi yöntemleri , trendler ve cihazlarda ki gelişmeleri başka takip etme imkanımız yok. Yayınlar , online toplantılar ve özellikle yurtdışı kongrelerin çıktılarını tskip etmek için sıklıkla kullanıyorum. Kendimi geliştirmek , kariyerim ve hastalarıma en iyisini sunmak için günceli takip etmeliyim.;Digitalization is definitely very important in terms of cardiology. Time and access to information are very critical for rapid access. We can follow surgical procedures live, but we do not have the opportunity to follow the developments in new treatment methods, trends and devices. I use it frequently to record the outputs of publications, online meetings and especially international congresses. I must keep up to date in order to improve myself, to provide the best for my career and my patients.
2;Elimizde kalp yetmezliğinde kullanılan ve ödemesi olmayan bir ürün bunu hastalara öneriyorduk. Önerme açısından bir sorunumuz yok ancak ekonomik durumlar malumunuz, karar hastaya ait bu konuda. Ben hekim olark doğru tedaviyi hastama vermek veya bilgilendirmek durumundayım;We have a product that is used in heart failure and has no payment, and we were recommending it to patients. We have no problem with the recommendation, but as you know the economic conditions, the decision belongs to the patient. As a physician, I have to give or inform my patient about the correct treatment.
3;Obezite tedavisi Saxenda ile başladı. Eskiden farkındalığımız düşüktü , Noovnordisk ziyaretleri ile obzeiteyi tedavi edebileceğimizi ve tedaviyi bizimde yapabileceğimizi öğrenmiş olduk. Obezite yaptığımız her işlemin başarısını düşüren bir etmen , eskiden diyetis6wn yönlendirmesi yapıyorduk veya hastaya kilo vermesini öneriyorduk. Şimdi farkındalık arttı ve hastamıza anlatıyoruz;Obesity treatment started with Saxenda. In the past, our awareness was low, but with Noovnordisk visits, we learned that we can treat obesity and that we can do the treatment ourselves. Obesity is a factor that reduces the success of every procedure we perform. In the past, we would guide the patient to a diet or recommend the patient to lose weight. Now awareness has increased and we are telling our patients
4;Hastalarıma obezite ile ilgili bir ilaç olduğunu belirtiyorum ve araştırıp alma veya almama kararını kendilerine bırakıyorum. İkna etme noktadında abezite ilacı ile birlikte klinik çalışma sonuçlarında bulunan kilo verme oranlarını hastalara sunuyorum. Hasta ile kurduğum iletişim, sosyokültürel seviyesi obeziteli olarak geçirdiği süre, yaş ve eşlik eden hastalıkları değerlendirildiğinde hastanın alma güdüsünü gözlemleyebiliyorum.;I tell my patients that it is a drug related to obesity and I leave it up to them to research it and decide whether to take it or not. At the point of persuasion, I present to patients the weight loss rates found in clinical study results along with the obesity medicine. When the communication I establish with the patient, her sociocultural level, the time she spent with obesity, her age and accompanying diseases are evaluated, I can observe the patient's motivation to buy.
5;Mesleki gelişimim açısında dijital kanalları pek kullanmıyorum. Dijital materyallerin bir tık ile elimin altında olması gerekiyor. Araştırma yaparken yada ihtiyacım olan bilgiye ulaşmak için zamanımı internet ortamında harcamamalıyım. Bundan dolayı daha geleneksel olan kongre, toplantı, sempozyum gibi yüzyüze olan oturumları tercih ediyorum.  Bu şekşlde hem daha fazla insanla iletişim kurabiliyorum, hoca ve dernek başkanları ile ilişki geliştirebiliyorum, sorularımı birincil ağızdan iletebliyorum ve cevapları aracı olmadan en homojen şekilde alabiliyorum. Buda benim sosyalleşmemi, doğru bilgiye en hızlı şekilde ulaşmamı ve hasta örnekleri ile tedavi başarımı artırarak mutluluğuma katkı sağlıyor.;I do not use digital channels much for my professional development. Digital materials need to be at my fingertips with just a click. I should not waste my time on the internet while doing research or finding the information I need. For this reason, I prefer more traditional face-to-face sessions such as congresses, meetings and symposiums. In this way, I can communicate with more people, develop relationships with professors and association presidents, send my questions firsthand, and receive answers in the most homogeneous way without intermediaries. This contributes to my happiness by enabling me to socialize, accessing accurate information as quickly as possible, and increasing my treatment success with patient samples.
6;Hastalarıma geri ödemede bulunmayan ürünler önermemeye çalışyorum. Eğer çok mecburi bir durum varsa o zaman geri ödemesiz ürün öneriyorum. Mecburen kullanmam gereken bir geri ödemesiz ürün varsa hastaya sağlayacağı yararı vurguluyorum. Öğün azaltarak maaliyet yaşamayacağını örnekler vererek anlatmaya çalışıyorum. Bu şekilde bir çok hastam ikna oluyor ve aldıkları tedavi sonrası ciddi kilo veriyorlar. Buda verdiğim emeğin karşılığını görmek açısından beni mutlu ediyor.;I try not to recommend non-reimbursable products to my patients. If there is a very mandatory situation, then I recommend a non-refundable product. If there is a non-refundable product that I must use, I emphasize the benefit it will provide to the patient. I am trying to explain by giving examples that you will not lose money by reducing your meals. In this way, many of my patients are convinced and lose significant weight after the treatment they receive. This makes me happy to see the reward of my hard work.
7;Obezite tedavisinde önceliğim hastanın verdiğim tedavi ile birlikte maksimum kilo vermesini sağlamaktır. Tedavi kararı alırken verdiğim ürün ile en az yan etki ve en yüksek kilo verdirici ürünü tercih ediyorum. Bu şekilde hastalarım yan etki yaşamadan en iyi oranda kilo verebiliyor buda hastalarımın ve benim mutlulupuma pozitif etki sağlıyor.;My priority in obesity treatment is to ensure that the patient loses maximum weight with the treatment I provide. When making a treatment decision, I choose the product that has the least side effects and the highest weight loss. In this way, my patients can lose weight at the best rate without experiencing side effects, which has a positive effect on the happiness of my patients and me.
8;Önemli buluyorum sonsuz bilgi erişimi sağlıyor.Yeni moleküller hakkında olan oturumlar.Yeni molekülleri takip etmek daha kolay olurdu ve tedavi protoklüme pozitif katkı sağlar.;I find it important that it provides access to endless information. Sessions about new molecules. It would be easier to follow new molecules and the treatment contributes positively to the protocol.
9;Uzun süren bir tedaviye uyumun ne kadar devam edeceği ilk önceliğim oluyor.Hedef kiloya ulaşılsa bile metabolizmanın alışma süreci olduğunu yoksa tekrar kilo alımının mümkün olduğunu anlatıyorum.Çünkü metabolik yanıt oluşmadığı sürece erken dönemde bırakılan ilaç tedavinin başarı oranını düşürücek.;My first priority is how long compliance with a long-term treatment will continue. I explain that even if the target weight is reached, the metabolism has an adaptation period, otherwise weight gain is possible. Because unless a metabolic response occurs, discontinuing medication early will reduce the success rate of the treatment.
